EVENT_DATE,事件数,EVENT_TYPE,SUB_EVENT_TYPE,ADMIN1,ADMIN2,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,死亡人数
16-Aug-18,3,Strategic developments,Looting/property destruction,Henan,Shangqiu,Yongcheng,33.929,116.449,1,0
16-Aug-18,3,Strategic developments,Change to group/activity,Liaoning,Anshan,Xiuyan Manchu Autonomous,40.291,123.281,1,0
16-Aug-18,3,Strategic developments,Change to group/activity,Henan,Jiyuan,Lilin Town,35.078,112.713,1,0
16-Aug-18,3,Strategic developments,Change to group/activity,Gansu,Jiayuguan,Xiongguan,39.783,98.275,2,0
16-Aug-18,3,Strategic developments,Change to group/activity,Henan,Zhengzhou,Zhongyuan,34.748,113.613,3,0
16-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Shangqiu,Shuangqiao Town,33.909,116.272,1,0
16-Aug-18,2,Protests,Peaceful protest,Henan,Zhengzhou,Zhongyuan,34.748,113.613,2,0
16-Aug-18,1,Protests,Peaceful protest,Jiangsu,Nantong,Hai'an,32.534,120.467,1,0
17-Aug-18,1,Violence against civilians,Abduction/forced disappearance,Beijing,Beijing,Beijing,39.906,116.391,3,0
17-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Shangqiu,Yucheng,34.403,115.841,1,0
17-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Luoyang,Chengguan,34.386,111.668,1,0
17-Aug-18,1,Violence against civilians,Abduction/forced disappearance,Jiangsu,Wuxi,Binhu,31.528,120.283,2,0
17-Aug-18,2,Protests,Peaceful protest,Henan,Zhengzhou,Zhongyuan,34.748,113.613,2,0
18-Aug-18,2,Protests,Peaceful protest,Hubei,Huanggang,Yingshan,30.735,115.681,1,0
18-Aug-18,1,Violence against civilians,Attack,Hebei,Handan,Wu'an,36.696,114.204,1,0
18-Aug-18,2,Protests,Peaceful protest,Tianjin,Tianjin,Tianjin,39.343,117.362,3,0
19-Aug-18,1,Strategic developments,Change to group/activity,Henan,Zhoukou,Luyi,33.86,115.484,1,0
19-Aug-18,2,Protests,Peaceful protest,Guizhou,Guiyang,Guanshanhu,26.602,106.622,2,0
19-Aug-18,2,Protests,Peaceful protest,Yunnan,Lijiang,Gucheng,26.877,100.226,2,0
20-Aug-18,1,Protests,Peaceful protest,Inner Mongolia,Hohhot,Saihan,40.792,111.702,1,0
20-Aug-18,1,Riots,Violent demonstration,Guangdong,Zhanjiang,Meilu,21.445,110.775,1,0
20-Aug-18,2,Protests,Peaceful protest,Chongqing,Yongchuan,Chongqing-Yongchuan,29.356,105.927,1,0
20-Aug-18,2,Protests,Peaceful protest,Shaanxi,Xi'an,Zhouzhi,34.164,108.222,1,0
20-Aug-18,1,Strategic developments,Looting/property destruction,Guangdong,Zhanjiang,Meilu,21.445,110.775,1,0
20-Aug-18,2,Strategic developments,Change to group/activity,Jiangsu,Xuzhou,Yunlong,34.253,117.251,2,0
20-Aug-18,1,Protests,Protest with intervention,Shaanxi,Xi'an,Xincheng,34.266,108.961,1,0
20-Aug-18,1,Strategic developments,Change to group/activity,Liaoning,Shenyang,Shenhe,41.796,123.459,2,0
20-Aug-18,2,Strategic developments,Other,Xinjiang,Karamay,Karamay,45.603,84.868,1,0
20-Aug-18,3,Violence against civilians,Attack,Jiangsu,Xuzhou,Yunlong,34.253,117.251,2,0
21-Aug-18,2,Protests,Peaceful protest,Anhui,Hefei,Shushan,31.851,117.26,2,0
21-Aug-18,1,Violence against civilians,Attack,Shandong,Weifang,Kuiwen,36.708,119.132,2,0
21-Aug-18,1,Protests,Peaceful protest,Guizhou,Bijie,Qixingguan,27.299,105.305,1,0
21-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Luoyang,Luolong,34.619,112.464,2,0
