Dates,Category,Descript,PdDistrict,DayOfWeek
2018/1/1,Protests,Peaceful protest,Hunan,星期一
2018/1/1,Protests,Peaceful protest,Guangdong,星期一
2018/1/1,Strategic developments,Looting/property destruction,Xinjiang,星期一
2018/1/1,Violence against civilians,Attack,Shandong,星期一
2018/1/1,Protests,Peaceful protest,Liaoning,星期一
2018/1/1,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期一
2018/1/1,Protests,Peaceful protest,Guangdong,星期一
2018/1/2,Protests,Peaceful protest,Fujian,星期二
2018/1/2,Protests,Peaceful protest,Shaanxi,星期二
2018/1/2,Protests,Peaceful protest,Henan,星期二
2018/1/2,Protests,Protest with intervention,Yunnan,星期二
2018/1/2,Protests,Peaceful protest,Zhejiang,星期二
2018/1/2,Protests,Protest with intervention,Zhejiang,星期二
2018/1/2,Protests,Peaceful protest,Shaanxi,星期二
2018/1/3,Protests,Peaceful protest,Gansu,星期三
2018/1/3,Protests,Protest with intervention,Hebei,星期三
2018/1/3,Strategic developments,Looting/property destruction,Hunan,星期三
2018/1/3,Protests,Peaceful protest,Fujian,星期三
2018/1/4,Protests,Peaceful protest,Guangdong,星期四
2018/1/4,Protests,Peaceful protest,Sichuan,星期四
2018/1/4,Protests,Peaceful protest,Yunnan,星期四
2018/1/5,Protests,Peaceful protest,Beijing,星期五
2018/1/5,Protests,Peaceful protest,Beijing,星期五
2018/1/5,Protests,Peaceful protest,Shaanxi,星期五
2018/1/5,Violence against civilians,Attack,Jiangxi,星期五
2018/1/5,Protests,Peaceful protest,Jiangsu,星期五
2018/1/5,Protests,Peaceful protest,Jilin,星期五
2018/1/5,Protests,Peaceful protest,Guangdong,星期五
2018/1/5,Protests,Protest with intervention,Fujian,星期五
2018/1/5,Protests,Peaceful protest,Jiangsu,星期五
2018/1/6,Protests,Protest with intervention,Beijing,星期六
2018/1/6,Violence against civilians,Attack,Beijing,星期六
2018/1/6,Protests,Peaceful protest,Shanghai,星期六
2018/1/6,Protests,Protest with intervention,Hunan,星期六
2018/1/6,Protests,Peaceful protest,Liaoning,星期六
2018/1/6,Violence against civilians,Abduction/forced disappearance,Hubei,星期六
2018/1/6,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期六
2018/1/7,Protests,Peaceful protest,Beijing,星期日
2018/1/7,Protests,Protest with intervention,Hebei,星期日
2018/1/7,Protests,Peaceful protest,Shanghai,星期日
2018/1/7,Protests,Protest with intervention,Guangdong,星期日
2018/1/8,Protests,Peaceful protest,Shanxi,星期一
2018/1/8,Protests,Peaceful protest,Guangdong,星期一
2018/1/8,Protests,Protest with intervention,Hunan,星期一
2018/1/8,Protests,Peaceful protest,Shanghai,星期一
2018/1/8,Violence against civilians,Attack,Hubei,星期一
2018/1/8,Protests,Peaceful protest,Shaanxi,星期一
2018/1/8,Protests,Peaceful protest,Anhui,星期一
2018/1/8,Protests,Peaceful protest,Guangdong,星期一
2018/1/8,Protests,Peaceful protest,Jilin,星期一
2018/1/8,Battles,Armed clash,Henan,星期一
2018/1/8,Protests,Peaceful protest,Jilin,星期一
2018/1/8,Protests,Protest with intervention,Beijing,星期一
2018/1/8,Protests,Peaceful protest,Hebei,星期一
2018/1/8,Protests,Peaceful protest,Shandong,星期一
2018/1/8,Protests,Excessive force against protesters,Hebei,星期一
2018/1/8,Protests,Peaceful protest,Hunan,星期一
2018/1/9,Protests,Peaceful protest,Shanghai,星期二
2018/1/9,Strategic developments,Looting/property destruction,Shanxi,星期二
2018/1/9,Protests,Protest with intervention,Jilin,星期二
2018/1/9,Protests,Excessive force against protesters,Anhui,星期二
2018/1/10,Protests,Peaceful protest,Hebei,星期三
2018/1/10,Protests,Peaceful protest,Henan,星期三
2018/1/10,Protests,Peaceful protest,Hubei,星期三
2018/1/10,Protests,Peaceful protest,Hunan,星期三
2018/1/10,Protests,Peaceful protest,Hubei,星期三
2018/1/10,Protests,Peaceful protest,Fujian,星期三
2018/1/10,Protests,Peaceful protest,Henan,星期三
2018/1/10,Protests,Peaceful protest,Sichuan,星期三
2018/1/10,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期三
2018/1/10,Protests,Peaceful protest,Sichuan,星期三
2018/1/10,Protests,Excessive force against protesters,Jilin,星期三
2018/1/11,Protests,Peaceful protest,Macao,星期四
2018/1/11,Protests,Protest with intervention,Hubei,星期四
2018/1/11,Protests,Peaceful protest,Fujian,星期四
2018/1/11,Protests,Peaceful protest,Jilin,星期四
2018/1/11,Protests,Peaceful protest,Inner Mongolia,星期四
2018/1/11,Protests,Peaceful protest,Inner Mongolia,星期四
2018/1/11,Protests,Peaceful protest,Jiangsu,星期四
2018/1/11,Violence against civilians,Abduction/forced disappearance,Shaanxi,星期四
2018/1/11,Violence against civilians,Attack,Yunnan,星期四
2018/1/11,Violence against civilians,Attack,Liaoning,星期四
2018/1/11,Violence against civilians,Attack,Liaoning,星期四
2018/1/11,Riots,Violent demonstration,Sichuan,星期四
2018/1/11,Protests,Protest with intervention,Shaanxi,星期四
2018/1/11,Protests,Peaceful protest,Fujian,星期四
2018/1/11,Protests,Peaceful protest,Jiangsu,星期四
2018/1/11,Protests,Peaceful protest,Henan,星期四
2018/1/12,Protests,Peaceful protest,Liaoning,星期五
2018/1/12,Protests,Peaceful protest,Tianjin,星期五
2018/1/12,Riots,Mob violence,Guangxi,星期五
2018/1/12,Violence against civilians,Attack,Guangxi,星期五
2018/1/12,Violence against civilians,Attack,Liaoning,星期五
2018/1/12,Protests,Peaceful protest,Sichuan,星期五
2018/1/12,Protests,Peaceful protest,Guizhou,星期五
2018/1/12,Violence against civilians,Attack,Jiangsu,星期五
2018/1/13,Protests,Peaceful protest,Hunan,星期六
2018/1/13,Protests,Peaceful protest,Shanxi,星期六
2018/1/13,Protests,Peaceful protest,Guangdong,星期六
2018/1/13,Protests,Protest with intervention,Shandong,星期六
2018/1/13,Violence against civilians,Abduction/forced disappearance,Zhejiang,星期六
2018/1/14,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期日
2018/1/14,Violence against civilians,Attack,Beijing,星期日
2018/1/14,Protests,Peaceful protest,Henan,星期日
2018/1/14,Protests,Peaceful protest,Hebei,星期日
2018/1/14,Protests,Peaceful protest,Henan,星期日
2018/1/14,Strategic developments,Arrests,Ningxia,星期日
2018/1/14,Protests,Peaceful protest,Shaanxi,星期日
2018/1/15,Protests,Protest with intervention,Henan,星期一
2018/1/15,Protests,Peaceful protest,Shaanxi,星期一
2018/1/15,Protests,Peaceful protest,Hebei,星期一
2018/1/15,Protests,Peaceful protest,Hunan,星期一
2018/1/15,Protests,Peaceful protest,Hainan,星期一
2018/1/15,Protests,Peaceful protest,Henan,星期一
2018/1/15,Protests,Peaceful protest,Macao,星期一
2018/1/15,Protests,Protest with intervention,Jilin,星期一
2018/1/15,Protests,Protest with intervention,Guangdong,星期一
2018/1/15,Protests,Peaceful protest,Sichuan,星期一
2018/1/16,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期二
2018/1/16,Protests,Peaceful protest,Hainan,星期二
2018/1/16,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期二
2018/1/16,Protests,Peaceful protest,Shaanxi,星期二
2018/1/16,Protests,Peaceful protest,Hubei,星期二
2018/1/16,Protests,Peaceful protest,Jiangsu,星期二
2018/1/16,Protests,Peaceful protest,Anhui,星期二
2018/1/16,Protests,Protest with intervention,Shaanxi,星期二
2018/1/16,Violence against civilians,Abduction/forced disappearance,Beijing,星期二
2018/1/16,Protests,Peaceful protest,Chongqing,星期二
2018/1/16,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期二
2018/1/16,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期二
2018/1/16,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期二
2018/1/16,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期二
2018/1/16,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期二
2018/1/16,Protests,Peaceful protest,Hubei,星期二
2018/1/16,Protests,Peaceful protest,Hunan,星期二
2018/1/16,Protests,Peaceful protest,Shanxi,星期二
2018/1/16,Protests,Peaceful protest,Guangdong,星期二
2018/1/17,Protests,Peaceful protest,Jiangsu,星期三
2018/1/17,Protests,Peaceful protest,Guangdong,星期三
2018/1/17,Protests,Protest with intervention,Shanghai,星期三
2018/1/17,Protests,Peaceful protest,Guangxi,星期三
2018/1/17,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期三
2018/1/17,Protests,Peaceful protest,Beijing,星期三
2018/1/17,Protests,Peaceful protest,Hunan,星期三
2018/1/17,Violence against civilians,Abduction/forced disappearance,Henan,星期三
2018/1/17,Violence against civilians,Abduction/forced disappearance,Jiangsu,星期三
2018/1/17,Protests,Peaceful protest,Shanxi,星期三
2018/1/18,Riots,Violent demonstration,Shanghai,星期四
2018/1/18,Protests,Peaceful protest,Zhejiang,星期四
2018/1/18,Protests,Peaceful protest,Shaanxi,星期四
2018/1/18,Protests,Peaceful protest,Fujian,星期四
2018/1/18,Protests,Peaceful protest,Hainan,星期四
2018/1/18,Protests,Peaceful protest,Guangdong,星期四
2018/1/18,Strategic developments,Looting/property destruction,Henan,星期四
2018/1/18,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期四
2018/1/18,Protests,Peaceful protest,Guangxi,星期四
2018/1/18,Protests,Peaceful protest,Guangdong,星期四
2018/1/18,Protests,Peaceful protest,Shanxi,星期四
2018/1/18,Protests,Peaceful protest,Shanghai,星期四
2018/1/18,Protests,Peaceful protest,Shaanxi,星期四
2018/1/19,Protests,Peaceful protest,Tianjin,星期五
2018/1/19,Protests,Protest with intervention,Guizhou,星期五
2018/1/19,Protests,Peaceful protest,Shanghai,星期五
2018/1/20,Violence against civilians,Abduction/forced disappearance,Beijing,星期六
2018/1/20,Protests,Peaceful protest,Chongqing,星期六
2018/1/20,Protests,Peaceful protest,Shandong,星期六
2018/1/20,Protests,Peaceful protest,Hunan,星期六
2018/1/20,Protests,Peaceful protest,Heilongjiang,星期六
2018/1/20,Violence against civilians,Attack,Beijing,星期六
2018/1/20,Violence against civilians,Attack,Henan,星期六
2018/1/20,Protests,Peaceful protest,Jiangsu,星期六
2018/1/20,Protests,Peaceful protest,Tianjin,星期六
2018/1/20,Protests,Peaceful protest,Hunan,星期六
2018/1/21,Protests,Peaceful protest,Jilin,星期日
2018/1/21,Protests,Peaceful protest,Hebei,星期日
2018/1/21,Protests,Peaceful protest,Sichuan,星期日
2018/1/22,Protests,Peaceful protest,Beijing,星期一
2018/1/22,Protests,Peaceful protest,Shandong,星期一
2018/1/22,Protests,Peaceful protest,Shaanxi,星期一
2018/1/22,Protests,Protest with intervention,Zhejiang,星期一
2018/1/22,Protests,Peaceful protest,Hubei,星期一
2018/1/22,Protests,Peaceful protest,Hunan,星期一
2018/1/22,Protests,Peaceful protest,Hebei,星期一
2018/1/22,Protests,Peaceful protest,Shandong,星期一
2018/1/22,Protests,Peaceful protest,Shaanxi,星期一
2018/1/22,Protests,Protest with intervention,Jiangsu,星期一
2018/1/23,Protests,Peaceful protest,Jilin,星期二
2018/1/23,Protests,Peaceful protest,Fujian,星期二
2018/1/23,Protests,Peaceful protest,Sichuan,星期二
2018/1/23,Protests,Peaceful protest,Sichuan,星期二
2018/1/24,Violence against civilians,Abduction/forced disappearance,Jilin,星期三
2018/1/24,Protests,Peaceful protest,Henan,星期三
2018/1/24,Protests,Peaceful protest,Shaanxi,星期三
2018/1/24,Protests,Peaceful protest,Hunan,星期三
2018/1/24,Protests,Peaceful protest,Guangdong,星期三
2018/1/24,Protests,Peaceful protest,Sichuan,星期三
2018/1/24,Violence against civilians,Attack,Hebei,星期三
2018/1/24,Protests,Peaceful protest,Jilin,星期三
2018/1/24,Violence against civilians,Abduction/forced disappearance,Shanghai,星期三
2018/1/24,Protests,Peaceful protest,Hunan,星期三
2018/1/24,Protests,Peaceful protest,Jiangxi,星期三
2018/1/24,Riots,Mob violence,Yunnan,星期三
2018/1/25,Protests,Peaceful protest,Heilongjiang,星期四
2018/1/25,Protests,Peaceful protest,Henan,星期四
2018/1/25,Protests,Peaceful protest,Shandong,星期四
2018/1/25,Protests,Peaceful protest,Guangdong,星期四
2018/1/25,Protests,Peaceful protest,Yunnan,星期四
2018/1/25,Protests,Peaceful protest,Anhui,星期四
2018/1/25,Protests,Peaceful protest,Liaoning,星期四
2018/1/25,Violence against civilians,Abduction/forced disappearance,Jiangsu,星期四
2018/1/25,Protests,Peaceful protest,Shaanxi,星期四
2018/1/26,Protests,Peaceful protest,Beijing,星期五
2018/1/26,Violence against civilians,Abduction/forced disappearance,Jiangsu,星期五
2018/1/26,Protests,Peaceful protest,Jilin,星期五
2018/1/26,Protests,Peaceful protest,Sichuan,星期五
2018/1/26,Protests,Peaceful protest,Sichuan,星期五
2018/1/26,Protests,Peaceful protest,Liaoning,星期五
2018/1/26,Protests,Peaceful protest,Tianjin,星期五
2018/1/26,Protests,Peaceful protest,Jilin,星期五
2018/1/26,Protests,Protest with intervention,Gansu,星期五
2018/1/26,Protests,Peaceful protest,Yunnan,星期五
2018/1/27,Violence against civilians,Abduction/forced disappearance,Fujian,星期六
2018/1/27,Violence against civilians,Attack,Shandong,星期六
2018/1/27,Protests,Peaceful protest,Sichuan,星期六
2018/1/27,Protests,Peaceful protest,Jiangxi,星期六
2018/1/27,Protests,Peaceful protest,Shaanxi,星期六
2018/1/27,Protests,Protest with intervention,Gansu,星期六
2018/1/27,Violence against civilians,Abduction/forced disappearance,Beijing,星期六
2018/1/27,Protests,Peaceful protest,Liaoning,星期六
2018/1/28,Violence against civilians,Abduction/forced disappearance,Tibet,星期日
2018/1/28,Protests,Peaceful protest,Hubei,星期日
2018/1/28,Protests,Peaceful protest,Hubei,星期日
2018/1/28,Violence against civilians,Abduction/forced disappearance,Beijing,星期日
2018/1/29,Protests,Peaceful protest,Henan,星期一
2018/1/29,Protests,Peaceful protest,Shanxi,星期一
2018/1/29,Protests,Peaceful protest,Shaanxi,星期一
2018/1/29,Protests,Peaceful protest,Shaanxi,星期一
2018/1/29,Violence against civilians,Attack,Xinjiang,星期一
2018/1/29,Protests,Peaceful protest,Beijing,星期一
2018/1/29,Protests,Peaceful protest,Hebei,星期一
2018/1/29,Protests,Peaceful protest,Shandong,星期一
2018/1/29,Protests,Peaceful protest,Hubei,星期一
2018/1/29,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期一
2018/1/29,Protests,Peaceful protest,Zhejiang,星期一
2018/1/29,Protests,Peaceful protest,Hubei,星期一
2018/1/29,Protests,Peaceful protest,Yunnan,星期一
2018/1/30,Protests,Peaceful protest,Shanghai,星期二
2018/1/30,Protests,Peaceful protest,Shaanxi,星期二
2018/1/31,Protests,Peaceful protest,Shandong,星期三
2018/1/31,Protests,Peaceful protest,Sichuan,星期三
2018/1/31,Violence against civilians,Attack,Shaanxi,星期三
2018/1/31,Protests,Peaceful protest,Shanghai,星期三
2018/1/31,Protests,Peaceful protest,Guangdong,星期三
2018/1/31,Protests,Peaceful protest,Shaanxi,星期三
2018/1/31,Protests,Peaceful protest,Jiangsu,星期三
2018/1/31,Strategic developments,Looting/property destruction,Henan,星期三
2018/1/31,Protests,Protest with intervention,Shaanxi,星期三
2018/2/1,Protests,Excessive force against protesters,Chongqing,星期四
2018/2/1,Protests,Peaceful protest,Zhejiang,星期四
2018/2/1,Protests,Peaceful protest,Gansu,星期四
2018/2/1,Protests,Peaceful protest,Henan,星期四
2018/2/1,Protests,Protest with intervention,Hubei,星期四
2018/2/1,Protests,Peaceful protest,Shaanxi,星期四
2018/2/1,Strategic developments,Change to group/activity,Henan,星期四
2018/2/1,Protests,Peaceful protest,Guangdong,星期四
2018/2/1,Protests,Peaceful protest,Sichuan,星期四
2018/2/1,Protests,Peaceful protest,Guangxi,星期四
2018/2/1,Protests,Peaceful protest,Jiangsu,星期四
2018/2/2,Protests,Peaceful protest,Beijing,星期五
2018/2/2,Strategic developments,Looting/property destruction,Xinjiang,星期五
2018/2/2,Protests,Peaceful protest,Jiangsu,星期五
2018/2/2,Protests,Peaceful protest,Shaanxi,星期五
2018/2/2,Protests,Peaceful protest,Chongqing,星期五
2018/2/2,Protests,Peaceful protest,Shanghai,星期五
2018/2/2,Riots,Violent demonstration,Jiangsu,星期五
2018/2/3,Protests,Peaceful protest,Jilin,星期六
2018/2/4,Strategic developments,Change to group/activity,Henan,星期日
2018/2/4,Protests,Peaceful protest,Shaanxi,星期日
2018/2/4,Violence against civilians,Attack,Henan,星期日
2018/2/4,Protests,Peaceful protest,Hainan,星期日
2018/2/4,Protests,Peaceful protest,Hubei,星期日
2018/2/4,Violence against civilians,Abduction/forced disappearance,Guangdong,星期日
2018/2/5,Protests,Peaceful protest,Henan,星期一
2018/2/5,Protests,Peaceful protest,Heilongjiang,星期一
2018/2/5,Protests,Peaceful protest,Hubei,星期一
2018/2/5,Protests,Peaceful protest,Shaanxi,星期一
2018/2/5,Protests,Peaceful protest,Shaanxi,星期一
2018/2/5,Protests,Peaceful protest,Anhui,星期一
2018/2/5,Protests,Peaceful protest,Shanxi,星期一
2018/2/5,Protests,Peaceful protest,Inner Mongolia,星期一
2018/2/5,Protests,Peaceful protest,Shandong,星期一
2018/2/6,Protests,Peaceful protest,Henan,星期二
2018/2/6,Protests,Peaceful protest,Hebei,星期二
2018/2/6,Protests,Peaceful protest,Shandong,星期二
2018/2/6,Protests,Peaceful protest,Shaanxi,星期二
2018/2/6,Protests,Peaceful protest,Guangxi,星期二
2018/2/6,Protests,Peaceful protest,Anhui,星期二
2018/2/6,Protests,Protest with intervention,Chongqing,星期二
2018/2/6,Protests,Peaceful protest,Shandong,星期二
2018/2/6,Protests,Protest with intervention,Henan,星期二
2018/2/6,Protests,Peaceful protest,Jiangsu,星期二
2018/2/6,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期二
2018/2/6,Protests,Peaceful protest,Shaanxi,星期二
2018/2/6,Protests,Peaceful protest,Sichuan,星期二
2018/2/6,Protests,Peaceful protest,Henan,星期二
2018/2/6,Protests,Peaceful protest,Shanxi,星期二
2018/2/7,Protests,Peaceful protest,Jiangxi,星期三
2018/2/7,Protests,Protest with intervention,Shandong,星期三
2018/2/7,Protests,Peaceful protest,Henan,星期三
2018/2/7,Protests,Peaceful protest,Guizhou,星期三
2018/2/7,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期三
2018/2/7,Protests,Peaceful protest,Shaanxi,星期三
2018/2/8,Protests,Peaceful protest,Hubei,星期四
2018/2/8,Protests,Peaceful protest,Guangdong,星期四
2018/2/8,Protests,Peaceful protest,Guangdong,星期四
2018/2/8,Violence against civilians,Attack,Fujian,星期四
2018/2/8,Violence against civilians,Attack,Hunan,星期四
2018/2/8,Protests,Peaceful protest,Yunnan,星期四
2018/2/8,Protests,Peaceful protest,Guizhou,星期四
2018/2/8,Protests,Peaceful protest,Shandong,星期四
2018/2/8,Protests,Peaceful protest,Shanghai,星期四
2018/2/8,Protests,Peaceful protest,Chongqing,星期四
2018/2/8,Protests,Peaceful protest,Hebei,星期四
2018/2/8,Protests,Peaceful protest,Guizhou,星期四
2018/2/8,Protests,Peaceful protest,Guizhou,星期四
2018/2/8,Protests,Peaceful protest,Shanghai,星期四
2018/2/8,Protests,Peaceful protest,Hunan,星期四
2018/2/8,Protests,Peaceful protest,Jiangsu,星期四
2018/2/9,Protests,Peaceful protest,Sichuan,星期五
2018/2/9,Protests,Peaceful protest,Jiangsu,星期五
2018/2/9,Protests,Peaceful protest,Yunnan,星期五
2018/2/9,Protests,Peaceful protest,Jiangsu,星期五
2018/2/9,Protests,Peaceful protest,Hebei,星期五
2018/2/9,Protests,Peaceful protest,Guizhou,星期五
2018/2/9,Protests,Peaceful protest,Shaanxi,星期五
2018/2/9,Protests,Peaceful protest,Guangdong,星期五
2018/2/9,Protests,Peaceful protest,Hunan,星期五
2018/2/10,Protests,Peaceful protest,Shaanxi,星期六
2018/2/10,Protests,Peaceful protest,Henan,星期六
2018/2/10,Protests,Peaceful protest,Guangxi,星期六
2018/2/10,Protests,Peaceful protest,Xinjiang,星期六
2018/2/10,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期六
2018/2/10,Violence against civilians,Abduction/forced disappearance,Beijing,星期六
2018/2/10,Protests,Peaceful protest,Hunan,星期六
2018/2/10,Protests,Peaceful protest,Jiangsu,星期六
2018/2/10,Protests,Peaceful protest,Henan,星期六
2018/2/10,Protests,Peaceful protest,Henan,星期六
2018/2/10,Protests,Peaceful protest,Sichuan,星期六
2018/2/10,Violence against civilians,Attack,Sichuan,星期六
2018/2/10,Protests,Peaceful protest,Sichuan,星期六
2018/2/10,Violence against civilians,Abduction/forced disappearance,Jiangsu,星期六
2018/2/11,Protests,Peaceful protest,Sichuan,星期日
2018/2/11,Protests,Peaceful protest,Henan,星期日
2018/2/11,Protests,Peaceful protest,Guizhou,星期日
2018/2/11,Protests,Peaceful protest,Hubei,星期日
2018/2/11,Protests,Peaceful protest,Jiangsu,星期日
2018/2/11,Protests,Peaceful protest,Sichuan,星期日
2018/2/11,Protests,Peaceful protest,Shanxi,星期日
2018/2/11,Protests,Peaceful protest,Zhejiang,星期日
2018/2/11,Protests,Peaceful protest,Hunan,星期日
2018/2/11,Protests,Peaceful protest,Yunnan,星期日
2018/2/11,Protests,Peaceful protest,Chongqing,星期日
2018/2/11,Protests,Protest with intervention,Shaanxi,星期日
2018/2/11,Protests,Peaceful protest,Henan,星期日
2018/2/11,Protests,Peaceful protest,Shanghai,星期日
2018/2/11,Protests,Peaceful protest,Shaanxi,星期日
2018/2/11,Protests,Peaceful protest,Guangdong,星期日
2018/2/11,Protests,Peaceful protest,Heilongjiang,星期日
2018/2/11,Protests,Peaceful protest,Guizhou,星期日
2018/2/11,Protests,Peaceful protest,Sichuan,星期日
2018/2/12,Protests,Peaceful protest,Henan,星期一
2018/2/12,Protests,Peaceful protest,Hubei,星期一
2018/2/12,Riots,Violent demonstration,Guizhou,星期一
2018/2/12,Protests,Peaceful protest,Jiangsu,星期一
2018/2/12,Protests,Protest with intervention,Henan,星期一
2018/2/12,Protests,Peaceful protest,Anhui,星期一
2018/2/12,Protests,Peaceful protest,Guizhou,星期一
2018/2/12,Protests,Peaceful protest,Jiangsu,星期一
2018/2/12,Protests,Peaceful protest,Guizhou,星期一
2018/2/12,Protests,Peaceful protest,Henan,星期一
2018/2/12,Protests,Peaceful protest,Anhui,星期一
2018/2/12,Protests,Peaceful protest,Chongqing,星期一
2018/2/12,Protests,Peaceful protest,Jiangxi,星期一
2018/2/12,Protests,Protest with intervention,Guangdong,星期一
2018/2/12,Protests,Peaceful protest,Tianjin,星期一
2018/2/12,Protests,Peaceful protest,Guizhou,星期一
2018/2/12,Protests,Peaceful protest,Hunan,星期一
2018/2/12,Protests,Peaceful protest,Hunan,星期一
2018/2/12,Protests,Peaceful protest,Guizhou,星期一
2018/2/12,Protests,Peaceful protest,Jiangxi,星期一
2018/2/12,Protests,Peaceful protest,Guizhou,星期一
2018/2/12,Protests,Peaceful protest,Shaanxi,星期一
2018/2/12,Protests,Peaceful protest,Henan,星期一
2018/2/12,Protests,Peaceful protest,Jiangsu,星期一
2018/2/12,Protests,Peaceful protest,Jiangxi,星期一
2018/2/12,Protests,Peaceful protest,Henan,星期一
2018/2/13,Protests,Peaceful protest,Jiangsu,星期二
2018/2/13,Protests,Peaceful protest,Anhui,星期二
2018/2/13,Protests,Peaceful protest,Anhui,星期二
2018/2/13,Protests,Peaceful protest,Jiangsu,星期二
2018/2/13,Protests,Peaceful protest,Jiangsu,星期二
2018/2/13,Protests,Peaceful protest,Henan,星期二
2018/2/13,Protests,Peaceful protest,Gansu,星期二
2018/2/13,Protests,Peaceful protest,Shanxi,星期二
2018/2/13,Protests,Peaceful protest,Hunan,星期二
2018/2/13,Protests,Protest with intervention,Chongqing,星期二
2018/2/13,Protests,Protest with intervention,Henan,星期二
2018/2/13,Protests,Peaceful protest,Shandong,星期二
2018/2/13,Protests,Protest with intervention,Sichuan,星期二
2018/2/13,Protests,Peaceful protest,Jilin,星期二
2018/2/13,Protests,Peaceful protest,Shanghai,星期二
2018/2/13,Protests,Peaceful protest,Heilongjiang,星期二
2018/2/13,Protests,Peaceful protest,Shanxi,星期二
2018/2/13,Protests,Peaceful protest,Liaoning,星期二
2018/2/13,Protests,Peaceful protest,Henan,星期二
2018/2/13,Protests,Peaceful protest,Shaanxi,星期二
2018/2/13,Protests,Peaceful protest,Jiangsu,星期二
2018/2/13,Protests,Peaceful protest,Beijing,星期二
2018/2/13,Protests,Peaceful protest,Shanghai,星期二
2018/2/13,Strategic developments,Change to group/activity,Guangdong,星期二
2018/2/13,Protests,Peaceful protest,Hunan,星期二
2018/2/13,Protests,Peaceful protest,Shanxi,星期二
2018/2/13,Protests,Peaceful protest,Jiangsu,星期二
2018/2/14,Protests,Peaceful protest,Jiangsu,星期三
2018/2/14,Protests,Peaceful protest,Guangdong,星期三
2018/2/14,Protests,Peaceful protest,Anhui,星期三
2018/2/14,Violence against civilians,Attack,Jiangxi,星期三
2018/2/14,Protests,Peaceful protest,Jiangsu,星期三
2018/2/14,Protests,Peaceful protest,Jiangsu,星期三
2018/2/14,Protests,Peaceful protest,Sichuan,星期三
2018/2/14,Protests,Peaceful protest,Henan,星期三
2018/2/14,Protests,Peaceful protest,Shaanxi,星期三
2018/2/14,Protests,Peaceful protest,Anhui,星期三
2018/2/14,Protests,Protest with intervention,Hubei,星期三
2018/2/14,Protests,Peaceful protest,Jiangxi,星期三
2018/2/14,Protests,Peaceful protest,Jiangsu,星期三
2018/2/14,Protests,Peaceful protest,Jiangsu,星期三
2018/2/14,Protests,Peaceful protest,Hubei,星期三
2018/2/14,Protests,Peaceful protest,Anhui,星期三
2018/2/14,Protests,Peaceful protest,Shaanxi,星期三
2018/2/14,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期三
2018/2/14,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期三
2018/2/14,Protests,Peaceful protest,Hubei,星期三
2018/2/14,Violence against civilians,Abduction/forced disappearance,Beijing,星期三
2018/2/14,Protests,Peaceful protest,Anhui,星期三
2018/2/14,Protests,Peaceful protest,Anhui,星期三
2018/2/14,Protests,Peaceful protest,Guangxi,星期三
2018/2/14,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期三
2018/2/14,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期三
2018/2/14,Protests,Peaceful protest,Henan,星期三
2018/2/14,Protests,Peaceful protest,Jiangxi,星期三
2018/2/15,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期四
2018/2/15,Violence against civilians,Attack,Xinjiang,星期四
2018/2/15,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期四
2018/2/15,Protests,Peaceful protest,Anhui,星期四
2018/2/15,Protests,Peaceful protest,Anhui,星期四
2018/2/15,Protests,Peaceful protest,Jiangsu,星期四
2018/2/15,Protests,Peaceful protest,Henan,星期四
2018/2/15,Violence against civilians,Abduction/forced disappearance,Liaoning,星期四
2018/2/15,Protests,Peaceful protest,Shanghai,星期四
2018/2/15,Protests,Peaceful protest,Anhui,星期四
2018/2/15,Protests,Peaceful protest,Jiangxi,星期四
2018/2/15,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期四
2018/2/15,Protests,Peaceful protest,Chongqing,星期四
2018/2/15,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期四
2018/2/16,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期五
2018/2/17,Strategic developments,Change to group/activity,Liaoning,星期六
2018/2/19,Violence against civilians,Abduction/forced disappearance,Fujian,星期一
2018/2/19,Protests,Peaceful protest,Zhejiang,星期一
2018/2/19,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期一
